T1,H1,S1,G1,F1,L1,T2,H2,S2,G2,F2,L2,T3,H3,S3,G3,F3,L3,T4,H4,S4,G4,F4,L4,CLASS_LABEL
32.25,73.93,0.0,0.0,0.0,0.0,32.43,74.34,0.0,0.0,0.0,0.0,40.97,56.01,0.0,49.0,0.67,0.83,32.83,70.6,0.0,0.0,0.0,0.0,1.0
32.26,73.92,0.0,0.0,0.0,0.0,32.43,74.34,0.0,0.0,0.0,0.0,41.03,55.74,0.0,49.0,0.68,0.83,32.84,70.57,0.0,0.0,0.0,0.0,1.0
32.26,73.91,0.0,0.0,0.0,0.0,32.44,74.34,0.0,0.0,0.0,0.0,41.08,55.51,0.0,50.0,0.69,0.83,32.85,70.53,0.0,0.0,0.0,0.0,1.0
32.26,73.9,0.0,0.0,0.0,0.0,32.44,74.35,0.0,0.0,0.0,0.0,41.13,55.31,0.0,39.0,0.7,0.83,32.87,70.49,0.0,0.0,0.0,0.0,1.0
32.27,73.9,0.0,0.0,0.0,0.0,32.44,74.34,0.0,0.0,0.0,0.0,41.17,55.13,0.0,50.0,0.71,0.83,32.88,70.47,0.0,0.0,0.0,0.0,1.0
32.27,73.88,0.0,0.0,0.0,0.0,32.45,74.33,0.0,0.0,0.0,0.0,41.2,54.94,0.0,48.0,0.72,0.83,32.89,70.44,0.0,0.0,0.0,0.0,1.0
32.28,73.88,0.0,0.0,0.0,0.0,32.45,74.33,0.0,0.0,0.0,0.0,41.24,54.77,0.0,48.0,0.73,0.83,32.91,70.41,0.0,0.0,0.0,0.0,1.0
32.28,73.87,0.0,0.0,0.0,0.0,32.46,74.31,0.0,0.0,0.0,0.0,41.26,54.62,0.0,48.0,0.74,0.83,32.92,70.39,0.0,0.0,0.0,0.0,1.0
32.28,73.84,0.0,0.0,0.0,0.0,32.46,74.34,0.0,0.0,0.0,0.0,41.29,54.47,0.0,49.0,0.75,0.83,32.93,70.37,0.0,0.0,0.0,0.0,1.0
32.29,73.85,0.0,0.0,0.0,0.0,32.47,74.36,0.0,0.0,0.0,0.0,41.31,54.34,0.0,48.0,0.76,0.83,32.95,70.34,0.0,0.0,0.0,0.0,1.0
32.29,73.83,0.0,0.0,0.0,0.0,32.47,74.37,0.0,0.0,0.0,0.0,41.33,54.18,0.0,51.0,0.77,0.83,32.96,70.3,0.0,0.0,0.0,0.0,1.0
32.3,73.82,0.0,0.0,0.0,0.0,32.47,74.39,0.0,0.0,0.0,0.0,41.35,54.06,0.0,51.0,0.78,0.83,32.97,70.27,0.0,0.0,0.0,0.0,1.0
32.3,73.79,0.0,0.0,0.0,0.0,32.48,74.4,0.0,0.0,0.0,0.0,41.36,53.94,0.0,50.0,0.79,0.83,32.99,70.24,0.0,0.0,0.0,0.0,1.0
32.3,73.79,0.0,0.0,0.0,0.0,32.48,74.41,0.0,0.0,0.0,0.0,41.38,53.83,0.0,49.0,0.8,0.83,33.0,70.2,0.0,0.0,0.0,0.0,1.0
32.31,73.79,0.0,0.0,0.0,0.0,32.49,74.4,0.0,0.0,0.0,0.0,41.39,53.73,0.0,49.0,0.81,0.83,33.01,70.17,0.0,0.0,0.0,0.0,1.0
32.31,73.77,0.0,0.0,0.0,0.0,32.49,74.4,0.0,0.0,0.0,0.0,41.41,53.63,0.0,43.0,0.82,1.67,33.03,70.15,0.0,0.0,0.0,0.0,1.0
32.31,73.77,0.0,0.0,0.0,0.0,32.49,74.38,0.0,0.0,0.0,0.0,41.47,53.45,0.0,32.0,0.83,3.33,33.04,70.1,0.0,0.0,0.0,0.0,1.0
32.32,73.76,0.0,0.0,0.0,0.0,32.5,74.41,0.0,0.0,0.0,0.0,41.56,53.28,0.0,39.0,0.84,3.33,33.05,70.07,0.0,0.0,0.0,0.0,1.0
32.32,73.75,0.0,0.0,0.0,0.0,32.5,74.36,0.0,0.0,0.0,0.0,41.7,53.07,0.0,41.0,0.85,2.5,33.06,70.02,0.0,0.0,0.0,0.0,1.0
32.32,73.74,0.0,0.0,0.0,0.0,32.51,74.36,0.0,0.0,0.0,0.0,41.88,52.77,0.0,42.0,0.86,2.5,33.07,69.99,0.0,0.0,0.0,0.0,1.0
32.33,73.73,0.0,0.0,0.0,0.0,32.51,74.32,0.0,0.0,0.0,0.0,42.1,52.4,0.0,43.0,0.87,2.5,33.09,69.97,0.0,0.0,0.0,0.0,1.0
32.33,73.73,0.0,0.0,0.0,0.0,32.51,74.29,0.0,0.0,0.0,0.0,42.35,51.96,0.0,43.0,0.88,2.5,33.1,69.94,0.0,0.0,0.0,0.0,1.0
32.45,73.46,0.0,0.0,0.0,0.0,32.64,73.84,0.0,0.0,0.0,0.0,52.06,33.76,0.0,37.0,0.89,2.5,33.46,68.89,0.0,0.0,0.0,0.0,1.0
32.45,73.43,0.0,0.0,0.0,0.0,32.64,73.82,0.0,0.0,0.0,0.0,52.24,33.39,0.0,35.0,0.9,3.33,33.48,68.87,0.0,0.0,0.0,0.0,1.0
32.46,73.42,0.0,0.0,0.0,0.0,32.65,73.84,0.0,0.0,0.0,0.0,52.41,33.06,0.0,37.0,0.91,2.5,33.49,68.84,0.0,0.0,0.0,0.0,1.0
32.46,73.41,0.0,0.0,0.0,0.0,32.65,73.82,0.0,0.0,0.0,0.0,52.59,32.72,0.0,37.0,0.92,3.33,33.5,68.82,0.0,0.0,0.0,0.0,1.0
32.46,73.41,0.0,0.0,0.0,0.0,32.65,73.8,0.0,0.0,0.0,0.0,52.76,32.39,0.0,35.0,0.93,4.17,33.51,68.79,0.0,0.0,0.0,0.0,1.0
32.46,73.41,0.0,0.0,0.0,0.0,32.65,73.8,0.0,0.0,0.0,0.0,52.93,32.07,0.0,38.0,0.94,3.33,33.52,68.78,0.0,0.0,0.0,0.0,1.0
32.47,73.41,0.0,0.0,0.0,0.0,32.66,73.79,0.0,0.0,0.0,0.0,53.1,31.73,0.0,30.0,0.95,3.33,33.53,68.75,0.0,0.0,0.0,0.0,1.0
32.47,73.39,0.0,0.0,0.0,0.0,32.66,73.77,0.0,0.0,0.0,0.0,53.27,31.41,0.0,46.0,0.96,1.67,33.55,68.72,0.0,0.0,0.0,0.0,1.0
32.47,73.39,0.0,0.0,0.0,0.0,32.66,73.76,0.0,0.0,0.0,0.0,53.41,31.06,0.0,48.0,0.97,0.83,33.56,68.7,0.0,0.0,0.0,0.0,1.0
32.48,73.38,0.0,0.0,0.0,0.0,32.67,73.72,0.0,0.0,0.0,0.0,53.51,30.82,0.0,48.0,0.98,0.83,33.57,68.66,0.0,0.0,0.0,0.0,1.0
