DATE and Time, 		T1, 	H1, S1,  G1, 	F1, L1, 	T2, H2,  S2,  G2,  F2,  L2,   T3,   H3,   S3,   G3,  F3,  L3,   T4,   H4,   S4,  G4,  F4,  L4, CLASS_LABEL
2023-09-22 07:19:31,30.07,70.95,0.00,0.00,0.00,20.83,29.50,69.80,0.00,0.00,0.00,20.83,30.03,69.82,0.00,52.00,0.00,14.17,32.33,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:19:36,30.07,70.94,0.00,0.00,0.00,20.00,29.50,69.82,0.00,0.00,0.00,20.83,30.03,69.86,0.00,51.00,0.00,14.17,32.33,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:19:42,30.07,70.94,0.00,0.00,0.00,20.83,29.50,69.80,0.00,0.00,0.00,20.83,30.03,69.86,0.00,54.00,0.00,14.17,32.33,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:19:47,30.06,70.94,0.00,0.00,0.00,20.83,29.50,69.82,0.00,0.00,0.00,20.83,30.03,69.86,0.00,53.00,0.00,14.17,32.33,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:19:52,30.06,70.92,0.00,0.00,0.00,20.83,29.50,69.82,0.00,0.00,0.00,20.83,30.03,69.87,0.00,53.00,0.00,14.17,32.33,65.04,0.00,0.00,0.00,23.33,0
2023-09-22 07:19:58,30.06,70.92,0.00,0.00,0.00,20.00,29.50,69.82,0.00,0.00,0.00,20.83,30.04,69.87,0.00,51.00,0.00,14.17,32.33,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:20:03,30.06,70.94,0.00,0.00,0.00,20.83,29.50,69.81,0.00,0.00,0.00,20.83,30.04,69.85,0.00,51.00,0.00,14.17,32.33,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:20:10,30.06,70.94,0.00,0.00,0.00,20.83,29.50,69.81,0.00,0.00,0.00,20.83,30.04,69.82,0.00,51.00,0.00,14.17,32.33,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:26:18,30.17,71.30,0.00,0.00,0.00,20.83,29.42,69.86,0.00,0.00,0.00,22.50,29.98,69.70,0.00,51.00,0.00,15.00,32.06,65.02,0.00,0.00,0.00,24.17,0
2023-09-22 07:26:23,30.17,71.31,0.00,0.00,0.00,20.83,29.41,69.87,0.00,0.00,0.00,21.67,29.98,69.71,0.00,54.00,0.00,14.17,32.06,65.04,0.00,0.00,0.00,23.33,0
2023-09-22 07:26:28,30.17,71.29,0.00,0.00,0.00,20.83,29.41,69.86,0.00,0.00,0.00,20.83,29.98,69.73,0.00,54.00,0.00,14.17,32.06,65.04,0.00,0.00,0.00,23.33,0
2023-09-22 07:26:33,30.17,71.29,0.00,0.00,0.00,20.83,29.41,69.87,0.00,0.00,0.00,22.50,29.98,69.74,0.00,53.00,0.00,15.00,32.06,65.04,0.00,0.00,0.00,23.33,0
2023-09-22 07:27:16,30.19,71.09,0.00,0.00,0.00,20.83,29.39,69.86,0.00,0.00,0.00,22.50,30.14,69.38,0.00,54.00,0.00,15.00,32.08,65.02,0.00,0.00,0.00,23.33,0
2023-09-22 07:27:21,30.19,71.08,0.00,0.00,0.00,20.83,29.39,69.86,0.00,0.00,0.00,21.67,30.15,69.34,0.00,54.00,0.00,14.17,32.08,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:27:26,30.19,71.07,0.00,0.00,0.00,20.83,29.39,69.86,0.00,0.00,0.00,21.67,30.16,69.31,0.00,52.00,0.00,14.17,32.08,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:27:31,30.19,71.07,0.00,0.00,0.00,20.83,29.39,69.86,0.00,0.00,0.00,21.67,30.16,69.27,0.00,53.00,0.00,14.17,32.08,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:27:36,30.19,71.06,0.00,0.00,0.00,20.83,29.39,69.85,0.00,0.00,0.00,21.67,30.17,69.26,0.00,48.00,0.00,14.17,32.08,65.04,0.00,0.00,0.00,24.17,0
2023-09-22 07:27:41,30.19,71.06,0.00,0.00,0.00,20.83,29.39,69.85,0.00,0.00,0.00,21.67,30.16,69.24,0.00,57.00,0.00,14.17,32.08,65.04,0.00,0.00,0.00,24.17,0
2023-09-22 07:27:46,30.19,71.03,0.00,0.00,0.00,20.83,29.39,69.86,0.00,0.00,0.00,21.67,30.16,69.25,0.00,53.00,0.00,14.17,32.08,65.03,0.00,0.00,0.00,24.17,0
2023-09-22 07:27:51,30.19,71.04,0.00,0.00,0.00,20.83,29.39,69.85,0.00,0.00,0.00,21.67,30.15,69.24,0.00,54.00,0.00,14.17,32.08,65.02,0.00,0.00,0.00,24.17,0
2023-09-22 07:27:56,30.19,71.03,0.00,0.00,0.00,20.83,29.39,69.85,0.00,0.00,0.00,21.67,30.15,69.28,0.00,48.00,0.00,14.17,32.08,65.03,0.00,0.00,0.00,24.17,0
2023-09-22 07:28:01,30.19,71.02,0.00,0.00,0.00,20.83,29.39,69.85,0.00,0.00,0.00,21.67,30.15,69.28,0.00,53.00,0.00,15.00,32.08,65.03,0.00,0.00,0.00,24.17,0
2023-09-22 07:28:06,30.19,71.02,0.00,0.00,0.00,20.83,29.39,69.85,0.00,0.00,0.00,21.67,30.14,69.28,0.00,55.00,0.00,14.17,32.08,65.03,0.00,0.00,0.00,24.17,0
2023-09-22 07:28:12,30.19,70.99,0.00,0.00,0.00,20.83,29.39,69.86,0.00,0.00,0.00,21.67,30.14,69.29,0.00,55.00,0.00,14.17,32.08,65.02,0.00,0.00,0.00,24.17,0
2023-09-22 07:28:17,30.19,70.99,0.00,0.00,0.00,20.83,29.39,69.86,0.00,0.00,0.00,21.67,30.14,69.30,0.00,54.00,0.00,14.17,32.08,65.04,0.00,0.00,0.00,24.17,0
2023-09-22 07:28:22,30.19,70.98,0.00,0.00,0.00,20.83,29.39,69.83,0.00,0.00,0.00,21.67,30.14,69.30,0.00,53.00,0.00,14.17,32.08,65.02,0.00,0.00,0.00,23.33,0
2023-09-22 07:28:27,30.19,70.98,0.00,0.00,0.00,20.83,29.39,69.87,0.00,0.00,0.00,21.67,30.13,69.31,0.00,55.00,0.00,15.00,32.08,65.04,0.00,0.00,0.00,23.33,0
2023-09-22 07:28:32,30.19,70.97,0.00,0.00,0.00,20.83,29.39,69.86,0.00,0.00,0.00,22.50,30.13,69.31,0.00,52.00,0.00,15.00,32.08,65.03,0.00,0.00,0.00,24.17,0
2023-09-22 07:28:37,30.19,70.97,0.00,0.00,0.00,20.83,29.39,69.87,0.00,0.00,0.00,22.50,30.13,69.30,0.00,54.00,0.00,15.00,32.08,65.03,0.00,0.00,0.00,24.17,0
2023-09-22 07:28:42,30.19,70.97,0.00,0.00,0.00,22.50,29.38,69.85,0.00,0.00,0.00,21.67,30.13,69.30,0.00,55.00,0.00,14.17,32.08,65.04,0.00,0.00,0.00,23.33,0
2023-09-22 07:28:47,30.20,70.97,0.00,0.00,0.00,21.67,29.38,69.85,0.00,0.00,0.00,21.67,30.13,69.32,0.00,55.00,0.00,15.00,32.08,65.03,0.00,0.00,0.00,23.33,0
2023-09-22 07:28:52,30.20,70.97,0.00,0.00,0.00,21.67,29.38,69.85,0.00,0.00,0.00,21.67,30.12,69.32,0.00,55.00,0.00,14.17,32.08,65.02,0.00,0.00,0.00,23.33,0
2023-09-22 07:28:57,30.20,70.96,0.00,0.00,0.00,21.67,29.38,69.85,0.00,0.00,0.00,21.67,30.12,69.33,0.00,54.00,0.00,15.00,32.08,65.03,0.00,0.00,0.00,24.17,0
2023-09-22 07:29:02,30.20,70.95,0.00,0.00,0.00,20.83,29.38,69.85,0.00,0.00,0.00,21.67,30.11,69.33,0.00,53.00,0.00,14.17,32.07,65.02,0.00,0.00,0.00,23.33,0
2023-09-22 07:29:07,30.20,70.92,0.00,0.00,0.00,20.83,29.37,69.85,0.00,0.00,0.00,21.67,30.10,69.36,0.00,59.00,0.00,14.17,32.07,65.04,0.00,0.00,0.00,23.33,0
2023-09-22 07:29:12,30.20,70.92,0.00,0.00,0.00,20.83,29.37,69.86,0.00,0.00,0.00,21.67,30.09,69.38,0.00,54.00,0.00,14.17,32.07,65.04,0.00,0.00,0.00,23.33,0
2023-09-22 07:29:20,30.20,70.78,0.00,0.00,0.00,19.17,29.38,69.87,0.00,0.00,0.00,22.50,30.07,69.52,0.00,58.00,0.00,14.17,32.15,65.02,0.00,0.00,0.00,23.33,0
2023-09-22 07:29:25,30.20,70.78,0.00,0.00,0.00,19.17,29.38,69.86,0.00,0.00,0.00,21.67,30.07,69.50,0.00,55.00,0.00,14.17,32.15,65.02,0.00,0.00,0.00,23.33,0
2023-09-22 07:29:30,30.20,70.78,0.00,0.00,0.00,19.17,29.38,69.85,0.00,0.00,0.00,21.67,30.08,69.51,0.00,54.00,0.00,14.17,32.15,65.02,0.00,0.00,0.00,23.33,0
2023-09-22 07:29:35,30.20,70.78,0.00,0.00,0.00,19.17,29.38,69.87,0.00,0.00,0.00,22.50,30.08,69.48,0.00,55.00,0.00,14.17,32.16,65.02,0.00,0.00,0.00,23.33,0
2023-09-22 07:29:40,30.20,70.77,0.00,0.00,0.00,18.33,29.38,69.86,0.00,0.00,0.00,21.67,30.08,69.47,0.00,57.00,0.00,14.17,32.16,65.02,0.00,0.00,0.00,24.17,0
