T1,H1,S1,G1,F1,T2,H2,S2,G2,F2,T3,H3,S3,G3,F3,T4,H4,S4,G4,F4,CLASS_LABEL
29.11,71.4,0.0,0.0,0.0,29.54,68.48,0.0,0.0,0.0,30.21,67.09,0.0,58.0,0.0,32.84,63.81,0.0,0.0,0.0,0.0
40.49,50.47,0.0,0.0,0.0,41.45,41.83,0.0,0.0,0.0,41.32,44.87,0.0,7.0,0.0,44.5,36.3,0.0,11.0,0.0,1.0
28.93,71.79,0.0,0.0,0.0,29.17,68.45,0.0,0.0,0.0,29.71,68.76,0.0,59.0,0.0,32.13,63.75,0.0,0.0,0.0,0.0
32.08,60.59,0.0,16.0,0.0,62.17,57.22,0.0,265.0,0.0,31.06,62.77,0.0,26.0,0.0,32.69,16.28,0.0,23.0,0.0,1.0
33.49,57.16,0.0,17.0,0.0,60.46,52.44,0.0,0.0,0.0,32.84,57.4,0.0,33.0,0.0,33.47,16.88,0.0,39.0,0.0,1.0
40.79,55.95,0.0,0.0,1294.0,33.48,71.36,0.0,0.0,0.0,34.88,61.16,0.0,51.0,0.0,45.41,35.12,0.0,0.0,0.0,1.0
35.83,58.8,0.0,14.0,0.0,35.33,52.87,0.0,0.0,0.0,32.56,63.41,0.0,4.0,1140.0,34.22,100.0,0.0,34.0,0.0,1.0
35.9,58.43,0.0,11.0,0.0,35.34,52.59,0.0,0.0,0.0,32.6,63.27,0.0,4.0,1167.0,34.22,100.0,0.0,23.0,0.0,1.0
43.76,34.46,0.0,14.0,0.0,35.82,53.16,0.0,0.0,0.0,53.36,26.48,0.0,2.0,1871.0,34.22,100.0,0.0,26.0,0.0,1.0
30.37,67.85,0.0,9.0,0.0,29.89,68.47,0.0,0.0,0.0,30.4,66.57,0.0,53.0,0.0,32.88,64.27,0.0,0.0,0.0,0.0
30.55,68.33,0.0,7.0,0.0,30.17,69.27,0.0,0.0,0.0,30.72,66.43,0.0,58.0,0.0,33.15,64.97,0.0,0.0,0.0,0.0
34.99,56.63,0.0,18.0,0.0,55.85,23.59,0.0,0.0,0.0,34.8,55.3,0.0,16.0,0.0,53.68,13.82,0.0,21.0,0.0,1.0
30.26,68.02,0.0,8.0,0.0,29.77,68.36,0.0,0.0,0.0,30.31,66.7,0.0,51.0,0.0,32.78,64.14,0.0,0.0,0.0,0.0
39.36,53.02,0.0,0.0,0.0,39.94,45.41,0.0,0.0,0.0,44.15,38.62,0.0,9.0,0.0,45.26,38.07,0.0,0.0,3542.0,1.0
30.5,68.24,0.0,6.0,0.0,30.07,69.08,0.0,0.0,0.0,30.64,66.38,0.0,57.0,0.0,33.16,64.83,0.0,0.0,0.0,0.0
32.2,70.02,0.0,0.0,0.0,32.43,70.78,0.0,0.0,0.0,31.89,70.65,0.0,51.0,0.0,34.48,60.68,0.0,0.0,0.0,0.0
30.49,68.33,0.0,7.0,0.0,30.03,69.15,0.0,0.0,0.0,30.63,66.44,0.0,57.0,0.0,33.1,64.89,0.0,0.0,0.0,0.0
30.28,67.98,0.0,11.0,0.0,29.79,68.37,0.0,0.0,0.0,30.32,66.68,0.0,53.0,0.0,32.78,64.14,0.0,0.0,0.0,0.0
48.59,27.7,0.0,13.0,0.0,35.86,52.29,0.0,0.0,0.0,47.56,35.59,0.0,0.0,1373.0,34.22,100.0,0.0,27.0,0.0,1.0
28.93,71.8,0.0,0.0,0.0,29.17,68.44,0.0,0.0,0.0,29.71,68.79,0.0,55.0,0.0,32.13,63.75,0.0,0.0,0.0,0.0
30.45,68.28,0.0,7.0,0.0,30.0,68.93,0.0,0.0,0.0,30.6,66.44,0.0,55.0,0.0,33.06,64.72,0.0,0.0,0.0,0.0
46.57,41.23,0.0,0.0,984.0,41.56,43.51,0.0,0.0,0.0,39.56,52.02,0.0,30.0,0.0,40.71,48.45,0.0,16.0,0.0,1.0
36.48,48.75,0.0,16.0,0.0,34.87,54.03,0.0,0.0,0.0,59.12,18.1,0.0,0.0,2063.0,34.22,100.0,0.0,19.0,0.0,1.0
52.83,23.46,0.0,16.0,0.0,36.27,51.8,0.0,0.0,0.0,42.38,45.34,0.0,2.0,2900.0,34.22,100.0,0.0,23.0,0.0,1.0
30.62,68.29,0.0,7.0,0.0,30.26,69.35,0.0,0.0,0.0,30.82,66.29,0.0,57.0,0.0,33.18,64.99,0.0,0.0,0.0,0.0
28.84,71.91,0.0,0.0,0.0,29.0,68.42,0.0,0.0,0.0,29.43,69.6,0.0,58.0,0.0,31.61,63.71,0.0,0.0,0.0,0.0
35.63,61.28,0.0,0.0,0.0,42.6,42.32,0.0,0.0,1818.0,34.83,60.86,0.0,14.0,3492.0,37.54,52.18,0.0,29.0,264.0,1.0
47.44,38.15,0.0,0.0,3065.0,40.85,45.03,0.0,0.0,0.0,39.83,51.19,0.0,14.0,0.0,40.89,47.43,0.0,16.0,0.0,1.0
40.35,50.31,0.0,0.0,0.0,39.6,46.63,0.0,0.0,0.0,48.97,33.7,0.0,15.0,4095.0,41.9,43.6,0.0,11.0,0.0,1.0
34.46,56.66,0.0,17.0,0.0,33.71,59.26,0.0,0.0,0.0,34.44,54.51,0.0,0.0,2447.0,56.22,21.41,0.0,39.0,0.0,1.0
30.5,68.35,0.0,7.0,0.0,30.03,69.17,0.0,0.0,0.0,30.65,66.45,0.0,57.0,0.0,33.09,64.89,0.0,0.0,0.0,0.0
33.14,71.81,0.0,0.0,0.0,32.96,72.96,0.0,0.0,0.0,43.52,40.45,0.0,48.0,0.0,46.16,43.51,0.0,0.0,8.0,1.0
40.67,49.82,0.0,0.0,0.0,39.64,46.79,0.0,0.0,0.0,48.35,34.4,0.0,15.0,3715.0,41.86,44.17,0.0,9.0,0.0,1.0
30.64,68.27,0.0,0.0,0.0,30.28,69.38,0.0,0.0,0.0,30.86,66.24,0.0,54.0,0.0,33.18,65.01,0.0,0.0,0.0,0.0
33.69,70.0,0.0,0.0,0.0,33.2,72.19,0.0,0.0,0.0,36.23,57.13,0.0,55.0,0.0,51.59,29.76,0.0,0.0,512.0,1.0
30.39,67.79,0.0,10.0,0.0,29.93,68.49,0.0,0.0,0.0,30.4,66.57,0.0,52.0,0.0,32.89,64.28,0.0,0.0,0.0,0.0
40.64,49.74,0.0,0.0,0.0,41.55,41.43,0.0,0.0,0.0,41.31,44.38,0.0,7.0,0.0,44.19,36.77,0.0,12.0,0.0,1.0
32.91,69.9,0.0,0.0,0.0,34.24,68.74,0.0,0.0,0.0,30.51,74.86,0.0,55.0,0.0,31.46,69.32,0.0,5.0,0.0,0.0
30.51,68.15,0.0,0.0,0.0,30.0,68.75,0.0,0.0,0.0,30.53,66.62,0.0,54.0,0.0,32.98,64.57,0.0,0.0,0.0,0.0
30.19,70.97,0.0,0.0,0.0,29.39,69.87,0.0,0.0,0.0,30.13,69.3,0.0,54.0,0.0,32.08,65.03,0.0,0.0,0.0,0.0
30.57,68.34,0.0,7.0,0.0,30.19,69.3,0.0,0.0,0.0,30.75,66.39,0.0,54.0,0.0,33.15,64.97,0.0,0.0,0.0,0.0
33.39,70.68,0.0,0.0,0.0,33.09,72.56,0.0,0.0,0.0,38.12,51.92,0.0,51.0,0.0,52.66,30.25,0.0,0.0,2926.0,1.0
32.65,69.53,0.0,0.0,0.0,32.92,68.95,0.0,0.0,0.0,30.68,74.53,0.0,48.0,0.0,32.41,67.3,0.0,0.0,0.0,0.0
61.52,18.37,0.0,16.0,0.0,36.41,51.52,0.0,0.0,0.0,33.59,61.3,0.0,0.0,1925.0,34.22,100.0,0.0,25.0,0.0,1.0
